SearchID,Year,League,Team,Role,G,GS,CG,SHO,W,L,SV,HLD,HP,IP,BF,H,HR,BB,IBB,HBP,SO,WP,BK,R,ER,K%,BB%,HR%,BABIP,LOB%,WL%,ERA,RA-,FIP-,RA9-WAR,WAR
100021,1936.1S,JBL,Nagoya,UC,6,3,3,1,4,1,,,,49.7,223,41,2,35,,3,12,3,0,17,13,0.054,0.157,0.009,0.229,0.814,0.8,2.36,58,122,1.7,0
100029,1937.1S,JBL,Kinko,UC,36,29,20,3,15,13,,,,254.7,1090,182,0,145,,7,95,5,0,88,61,0.087,0.133,0,0.221,0.737,0.536,2.16,74,104,6.2,2.3
100029,1937.2F,JBL,Kinko,UC,20,10,5,0,7,4,,,,95.3,433,75,3,65,,2,47,4,0,52,33,0.109,0.15,0.007,0.231,0.653,0.636,3.12,109,106,0.6,0.8
100029,1938.1S,JBL,Kinko,UC,12,11,5,0,3,6,,,,73.3,358,85,1,51,,2,17,3,0,49,37,0.047,0.142,0.003,0.299,0.652,0.333,4.54,142,112,-0.7,0.5
100029,1938.2F,JBL,Kinko,UC,18,11,5,1,1,7,,,,96.7,433,84,2,61,,2,43,1,0,50,33,0.099,0.141,0.005,0.26,0.673,0.125,3.07,116,104,0.2,0.9
100029,1939,JBL,Kinko,UC,45,32,10,0,7,18,,,,244,1056,206,7,129,,1,107,4,0,102,66,0.101,0.122,0.007,0.249,0.717,0.28,2.43,106,103,1.9,2.5
100029,1940,JBL,Kinko,UC,43,35,16,2,9,19,,,,284.3,1212,230,5,134,,3,112,2,0,114,81,0.092,0.111,0.004,0.239,0.703,0.321,2.56,118,102,0.6,3
100029,1941,JBL,Taiyo,UC,26,14,5,0,3,7,,,,136.7,566,105,3,59,,0,36,6,0,35,21,0.064,0.104,0.005,0.221,0.807,0.3,1.38,90,100,1.9,1.5
100029,1942,JBL,Taiyo,UC,22,14,7,3,5,7,,,,126,513,82,3,50,,2,46,0,0,37,23,0.09,0.097,0.006,0.197,0.747,0.417,1.64,105,100,1,1.4
100029,1936.2F,JBL,Kinko,UC,18,16,3,0,3,10,,,,91,416,77,0,51,,3,44,1,0,52,32,0.106,0.123,0,0.246,0.603,0.231,3.16,120,98,-0.1,1.2
100029,1936.1S,JBL,Kinko,UC,7,5,3,1,3,2,,,,43.7,184,37,0,20,,1,11,0,0,15,11,0.06,0.109,0,0.25,0.741,0.6,2.27,58,95,1.5,0.6
100034,1936.1S,JBL,Kinko,UC,4,3,0,0,1,2,,,,11,61,10,0,13,,2,3,1,0,13,7,0.049,0.213,0,0.25,0.48,0.333,5.73,200,141,-0.4,-0.1
100034,1936.2F,JBL,Kinko,UC,3,1,0,0,0,1,,,,8.3,44,11,0,8,,0,2,0,0,9,8,0.045,0.182,0,0.324,0.526,0,8.64,227,129,-0.4,0
100034,1937.1S,JBL,Kinko,UC,2,1,0,0,0,1,,,,6.7,31,4,0,8,,0,2,1,1,4,3,0.065,0.258,0,0.19,0.667,0,4.05,128,155,0,-0.1
100035,1936.1S,JBL,Kyojin,UC,4,2,0,0,0,1,,,,18,84,23,1,3,,1,5,0,0,11,8,0.06,0.036,0.012,0.306,0.625,0,4,103,91,0.1,0.3
100035,1936.2F,JBL,Kyojin,UC,10,8,3,3,3,3,,,,51.3,216,38,0,24,,3,25,0,0,13,8,0.116,0.111,0,0.238,0.8,0.5,1.4,53,94,1.8,0.7
100035,1937.1S,JBL,Kyojin,UC,20,16,4,1,4,5,,,,116.7,491,102,4,48,,2,45,1,0,51,40,0.092,0.098,0.008,0.257,0.69,0.444,3.09,93,101,1.6,1.2
100035,1937.2F,JBL,Kyojin,UC,9,7,2,0,2,4,,,,40.7,179,35,0,23,,2,16,0,0,22,17,0.089,0.128,0,0.255,0.633,0.333,3.76,108,96,0.3,0.5
100035,1938.1S,JBL,Kyojin,UC,13,6,1,0,6,3,,,,52.3,241,45,2,34,,4,28,0,0,26,21,0.116,0.141,0.008,0.254,0.711,0.667,3.61,106,107,0.4,0.4
100035,1938.2F,JBL,Kyojin,UC,14,9,3,0,3,4,,,,62.3,270,65,8,17,,2,15,0,0,42,38,0.056,0.063,0.03,0.257,0.577,0.429,5.49,151,122,-0.8,0
100035,1946,JBL,Hankyu,UC,11,7,3,0,3,3,,,,60.3,251,61,0,19,,1,9,0,0,21,17,0.036,0.076,0,0.277,0.741,0.5,2.54,72,90,1.6,1
100040,1938.1S,JBL,Kyojin,UC,2,0,0,0,0,0,,,,3.7,13,2,0,1,,0,0,0,0,0,0,0,0.077,0,0.167,1,,0,0,93,0.2,0
100040,1937.2F,JBL,Kyojin,UC,13,3,0,0,2,1,,,,53.3,215,35,2,18,,1,19,0,0,18,16,0.088,0.084,0.009,0.193,0.703,0.667,2.7,67,93,1.5,0.8
100040,1937.1S,JBL,Kyojin,UC,1,0,0,0,0,0,,,,3,10,1,0,0,,0,0,0,0,0,0,0,0,0,0.1,1,,0,0,78,0.2,0.1
100040,1936.2F,JBL,Kyojin,UC,5,2,0,0,1,1,,,,21,93,20,0,11,,1,8,0,0,7,3,0.086,0.118,0,0.282,0.781,0.5,1.29,70,102,0.5,0.2
100040,1936.1S,JBL,Kyojin,UC,2,1,0,0,0,2,,,,3.7,19,8,1,1,,0,2,0,0,4,3,0.105,0.053,0.053,0.583,0.658,0,7.36,185,136,-0.1,0
100041,1937.2F,JBL,Senators,UC,1,0,0,0,0,0,,,,2,9,3,0,1,,0,2,0,0,0,0,0.222,0.111,0,0.5,1,,0,0,63,0.1,0.1
100042,1936.1S,JBL,Kyojin,UC,5,2,0,0,1,1,,,,20.3,88,17,2,11,,0,17,0,0,11,9,0.193,0.125,0.023,0.259,0.675,0.5,3.98,92,100,0.3,0.2
100042,1936.2F,JBL,Kyojin,UC,6,3,0,0,0,1,,,,25.3,108,15,1,16,,0,15,2,0,9,5,0.139,0.148,0.009,0.189,0.743,0,1.78,75,110,0.6,0.2
100042,1937.1S,JBL,Korakuen,UC,32,28,23,3,7,21,,,,239,1066,225,6,119,,5,96,3,0,138,91,0.09,0.112,0.006,0.266,0.619,0.25,3.43,123,103,-0.3,2.4
100042,1937.2F,JBL,Korakuen,UC,29,24,16,3,12,11,,,,196,871,186,11,95,,1,84,2,1,104,78,0.096,0.109,0.013,0.261,0.668,0.522,3.58,106,102,1.4,2.1
100042,1941,JBL,Kurowashi,UC,26,22,13,3,7,14,,,,152.7,655,110,5,93,,1,50,1,0,61,44,0.076,0.142,0.008,0.213,0.726,0.333,2.59,141,122,-1,0.2
100042,1942,JBL,Yamato,UC,35,29,19,3,3,18,,,,242.3,1021,194,9,99,,5,62,0,0,80,60,0.061,0.097,0.009,0.223,0.764,0.143,2.23,118,116,0.6,1.1
