playerstatsID,playerID,yearID,lgID,teamID,stint,AL_indicator,CL_indicator,KBO_indicator,NL_indicator,PL_indicator,transition_indicator,statType,stat,value
1069898,MLB_johnsbi01_NPB__KBO_,1884,UA,PHU,1,0,0,0,0,0,1,Batting,7,0.0
1070809,MLB_jonesbi01_NPB__KBO_,1884,UA,PHU,1,0,0,0,0,0,1,Batting,7,0.0
1071054,MLB_jonesja01_NPB__KBO_,1884,UA,CNU,1,0,0,0,0,0,2,Batting,7,2.0
1071616,MLB_joypo01_NPB__KBO_,1884,UA,WSU,1,0,0,0,0,0,1,Batting,7,0.0
1071905,MLB_kalbfch01_NPB__KBO_,1884,UA,WSU,1,0,0,0,0,0,1,Batting,7,0.0
1072732,MLB_kellyjo01_NPB__KBO_,1884,UA,CNU,1,0,0,0,0,0,4,Batting,7,1.0
1072733,MLB_kellyjo01_NPB__KBO_,1884,UA,WSU,2,0,0,0,0,0,4,Batting,7,0.0
1073067,MLB_kenneed02_NPB__KBO_,1884,UA,CNU,1,0,0,0,0,0,1,Batting,7,0.0
1073515,MLB_kienzbi01_NPB__KBO_,1884,UA,PHU,1,0,0,0,0,0,2,Batting,7,0.0
1074128,MLB_kirbyjo01_NPB__KBO_,1884,UA,KCU,1,0,0,0,0,0,1,Batting,7,0.0
1075196,MLB_koonsha01_NPB__KBO_,1884,UA,ALT,1,0,0,0,0,0,1,Batting,7,0.0
1075197,MLB_koonsha01_NPB__KBO_,1884,UA,CHU,2,0,0,0,0,0,1,Batting,7,0.0
1075568,MLB_kreegfr01_NPB__KBO_,1884,UA,KCU,1,0,0,0,0,0,1,Batting,7,0.0
1075690,MLB_kriegbi01_NPB__KBO_,1884,UA,CHU,1,0,0,0,0,0,1,Batting,7,0.0
1077039,MLB_larki01_NPB__KBO_,1884,UA,WSU,1,0,0,0,0,0,1,Batting,7,0.0
1077478,MLB_lawlomi01_NPB__KBO_,1884,UA,WSU,1,0,0,0,0,0,2,Batting,7,0.0
1077751,MLB_learyja01_NPB__KBO_,1884,UA,ALT,1,0,0,0,0,0,3,Batting,7,0.0
1077752,MLB_learyja01_NPB__KBO_,1884,UA,CHU,2,0,0,0,0,0,3,Batting,7,0.0
