playerId,Season,TeamKor,POS,G,GS,IP,E,PKO,PO,A,DP,FPCT,PB,SB,CS,CS%
52001,2025,KT,OF,12,10,72 2/3,0,0,15,0,0,1,0,0,0,-
79140,2025,KT,P,12,0,10 2/3,0,0,0,2,0,1,0,0,0,-
69032,2025,KT,P,12,12,64 2/3,0,0,3,7,0,1,0,0,0,-
69064,2025,KT,2B,11,5,53 2/3,0,0,13,19,4,1,0,0,0,-
64001,2025,KT,P,11,11,68,0,1,2,12,1,1,0,0,0,-
67419,2025,KT,P,11,0,13 1/3,0,0,0,5,1,1,0,0,0,-
50859,2025,KT,P,11,11,61,0,0,3,10,0,1,0,0,0,-
65060,2025,KT,P,11,0,11 1/3,0,0,0,1,1,1,0,0,0,-
50066,2025,KT,C,10,3,41 1/3,2,0,33,4,0,0.949,0,1,0,0
51013,2025,KT,OF,10,2,25 2/3,0,0,5,0,0,1,0,0,0,-
54354,2025,KT,P,10,10,54,3,0,6,10,0,0.842,0,0,0,-
50030,2025,KT,P,9,9,54 2/3,1,0,6,17,2,0.958,0,0,0,-
50092,2025,KT,1B,8,1,22,0,0,18,2,4,1,0,0,0,-
68896,2025,KT,P,8,0,9 1/3,0,0,2,0,0,1,0,0,0,-
69056,2025,KT,SS,7,3,33 1/3,1,0,6,8,6,0.933,0,0,0,-
67006,2025,KT,OF,7,0,10 1/3,0,0,1,0,0,1,0,0,0,-
51013,2025,KT,OF,7,1,23 2/3,0,0,6,1,0,1,0,0,0,-
64504,2025,KT,1B,6,2,16 1/3,0,0,11,0,1,1,0,0,0,-
66706,2025,KT,OF,6,0,6 1/3,0,0,4,1,0,1,0,0,0,-
51007,2025,KT,OF,6,1,8 1/3,0,0,4,1,0,1,0,0,0,-
69064,2025,KT,3B,5,0,7,0,0,2,3,1,1,0,0,0,-
68050,2025,KT,C,5,4,32 2/3,1,0,22,2,1,0.96,0,2,2,50
67025,2025,KT,OF,5,5,34,0,0,7,0,0,1,0,0,0,-
66706,2025,KT,OF,5,0,10,0,0,3,0,0,1,0,0,0,-
50054,2025,KT,1B,5,1,13,0,0,17,1,4,1,0,0,0,-
51003,2025,KT,2B,4,2,24,0,0,4,9,0,1,0,0,0,-
66706,2025,KT,OF,4,3,21,0,0,5,0,0,1,0,0,0,-
69056,2025,KT,2B,3,1,9,0,0,2,2,0,1,0,0,0,-
67006,2025,KT,OF,3,0,8,0,0,2,0,0,1,0,0,0,-
50092,2025,KT,SS,3,0,10,0,0,0,3,1,1,0,0,0,-
69054,2025,KT,P,3,0,3 1/3,0,0,0,0,0,-,0,0,0,-
64115,2025,KT,2B,3,2,17 1/3,0,0,4,7,1,1,0,0,0,-
51007,2025,KT,OF,3,1,5 1/3,1,0,1,0,0,0.5,0,0,0,-
69064,2025,KT,1B,2,0,6,0,0,0,0,0,-,0,0,0,-
52002,2025,KT,OF,2,0,4,0,0,1,0,0,1,0,0,0,-
52002,2025,KT,OF,2,0,4,0,0,1,0,0,1,0,0,0,-
55043,2025,KT,P,2,0,2 1/3,0,0,0,0,0,-,0,0,0,-
51013,2025,KT,OF,2,2,12,0,0,2,0,0,1,0,0,0,-
64115,2025,KT,3B,2,0,6,0,0,1,0,0,1,0,0,0,-
64768,2025,KT,P,2,2,10 1/3,0,1,1,1,0,1,0,0,0,-
53006,2025,KT,P,1,1,3,0,0,0,1,0,1,0,0,0,-
51005,2025,KT,OF,1,0,1,0,0,0,0,0,-,0,0,0,-
64004,2025,KT,OF,1,1,1,0,0,0,0,0,-,0,0,0,-
52002,2025,KT,OF,1,0,3,0,0,0,0,0,-,0,0,0,-
64012,2025,KT,OF,1,0,2,0,0,2,0,0,1,0,0,0,-
52001,2025,KT,OF,1,0,1,0,0,0,0,0,-,0,0,0,-
67048,2025,KT,P,1,0,1,0,0,0,0,0,-,0,0,0,-
76313,2025,KT,SS,1,0,1,0,0,0,1,0,1,0,0,0,-
67893,2025,SSG,SS,52,50,440 2/3,9,0,101,146,39,0.965,0,0,0,-
50854,2025,SSG,OF,52,50,443 2/3,3,0,91,0,0,0.968,0,0,0,-
54812,2025,SSG,2B,48,41,378 1/3,5,0,98,127,34,0.978,0,0,0,-
51868,2025,SSG,1B,46,44,384 1/3,2,0,344,29,31,0.995,0,0,0,-
51865,2025,SSG,C,35,28,243 2/3,1,0,206,18,2,0.996,2,19,7,26.9
62895,2025,SSG,OF,31,29,247 1/3,1,0,45,1,0,0.979,0,0,0,-
73211,2025,SSG,P,29,0,30,0,0,0,6,0,1,0,0,0,-
68043,2025,SSG,P,28,0,23,0,0,0,0,0,-,0,0,0,-
53892,2025,SSG,P,27,0,27,0,0,0,4,0,1,0,0,0,-
79456,2025,SSG,C,26,21,189 2/3,1,1,189,11,0,0.995,1,16,2,11.1
68868,2025,SSG,OF,26,20,189,0,0,35,0,0,1,0,0,0,-
68092,2025,SSG,P,25,0,17 2/3,0,1,0,3,0,1,0,0,0,-
51867,2025,SSG,P,24,2,26 1/3,1,0,1,3,0,0.8,0,0,0,-
51897,2025,SSG,P,24,0,24 2/3,0,0,0,4,0,1,0,0,0,-
66864,2025,SSG,3B,23,16,155 1/3,2,0,4,26,0,0.938,0,0,0,-
76802,2025,SSG,3B,18,8,90,2,0,3,20,1,0.92,0,0,0,-
54805,2025,SSG,3B,18,17,138 1/3,5,0,12,26,1,0.884,0,0,0,-
60558,2025,SSG,OF,18,12,106,1,0,24,0,0,0.96,0,0,0,-
50812,2025,SSG,P,15,0,20 1/3,1,0,3,4,0,0.875,0,0,0,-
66662,2025,SSG,C,15,5,53 1/3,0,0,46,2,0,1,0,4,1,20
60558,2025,SSG,1B,14,5,57 1/3,0,0,53,3,11,1,0,0,0,-
68805,2025,SSG,OF,14,0,23 2/3,0,0,6,0,0,1,0,0,0,-
77829,2025,SSG,P,12,12,65 2/3,0,0,3,12,2,1,0,0,0,-
76802,2025,SSG,2B,12,7,61 2/3,1,0,17,23,4,0.976,0,0,0,-
53827,2025,SSG,OF,12,12,110,1,0,30,1,0,0.969,0,0,0,-
68856,2025,SSG,P,12,0,17 2/3,0,0,1,0,0,1,0,0,0,-
54833,2025,SSG,P,11,11,63 1/3,1,0,3,1,0,0.8,0,0,0,-
55844,2025,SSG,OF,10,10,72,0,0,15,0,0,1,0,0,0,-
62869,2025,SSG,P,9,9,47 2/3,0,1,2,10,0,1,0,0,0,-
60558,2025,SSG,OF,9,5,44 2/3,0,0,10,1,1,1,0,0,0,-
53898,2025,SSG,P,8,6,31,0,0,2,2,0,1,0,0,0,-
69813,2025,SSG,OF,8,7,54 1/3,1,0,9,0,0,0.9,0,0,0,-
67900,2025,SSG,3B,7,5,35,2,0,4,8,2,0.857,0,0,0,-
